TARG_ID,TARG_ID,OBSPROJECT_UID,SG_ID,tarType,solarSystem,sourceName,RA,DEC,isMosaic,isRect,PA,rect_width,rect_height,centerVel,centerVel_units,centerVel_refsys,centerVel_doppler,lineWidth
uid://A001/X10f/X493_01_1,uid://A001/X10f/X493_01_1,uid://A001/X10f/X493,uid://A001/X10f/X493_01,F_MultiplePoints,Unspecified,IRAM01491+1522,65.50170833333334,15.505888888888888,True,False,0,0,0,,,,,0.0007323577414951882
uid://A001/X10f/X493_02_1,uid://A001/X10f/X493_02_1,uid://A001/X10f/X493,uid://A001/X10f/X493_02,F_MultiplePoints,Unspecified,IRAM04191+1522,65.50170833303301,15.50588888904203,True,False,0,0,0,,,,,0.0011899112158614705
uid://A001/X10f/X493_03_1,uid://A001/X10f/X493_03_1,uid://A001/X10f/X493,uid://A001/X10f/X493_03,F_MultiplePoints,Unspecified,CB68,254.33179166666667,-16.1565,True,False,0,0,0,,,,,0.0007323610394567133
uid://A001/X10f/X493_04_1,uid://A001/X10f/X493_04_1,uid://A001/X10f/X493,uid://A001/X10f/X493_04,F_MultiplePoints,Unspecified,CB68,254.33179166689956,-16.156500000097463,False,False,0,0,0,,,,,0.0023798331485657786
uid://A001/X10f/X493_05_1,uid://A001/X10f/X493_05_1,uid://A001/X10f/X493,uid://A001/X10f/X493_05,F_MultiplePoints,Unspecified,CB130-1,274.06829166666665,-2.5438055555555557,True,False,0,0,0,,,,,0.0007323547366857987
uid://A001/X10f/X493_06_1,uid://A001/X10f/X493_06_1,uid://A001/X10f/X493,uid://A001/X10f/X493_06,F_MultiplePoints,Unspecified,CB130-1,274.06829166666665,-2.5438055555555557,True,False,0,0,0,,,,,0.002379812667488356
uid://A001/X10f/X493_07_1,uid://A001/X10f/X493_07_1,uid://A001/X10f/X493,uid://A001/X10f/X493_07,F_MultiplePoints,Unspecified,L673-7,290.39508333333333,11.3565,True,False,0,0,0,,,,,0.0007323554939954823
uid://A001/X10f/X493_08_1,uid://A001/X10f/X493_08_1,uid://A001/X10f/X493,uid://A001/X10f/X493_08,F_MultiplePoints,Unspecified,L673-7,290.39508333333333,11.3565,True,False,0,0,0,,,,,0.0011899075641965036
uid://A001/X10f/Xc4_01_1,uid://A001/X10f/Xc4_01_1,uid://A001/X10f/Xc4,uid://A001/X10f/Xc4_01,F_MultiplePoints,Unspecified,IC_4296,204.162721,-33.965917,True,False,0,0,0,,,,,0.3014682369717552
uid://A001/X10f/Xc4_02_1,uid://A001/X10f/Xc4_02_1,uid://A001/X10f/Xc4,uid://A001/X10f/Xc4_02,F_MultiplePoints,Unspecified,NGC_1332,51.572171,-21.335369,True,False,0,0,0,,,,,0.3035185518848579
uid://A001/X10f/Xc4_03_1,uid://A001/X10f/Xc4_03_1,uid://A001/X10f/Xc4,uid://A001/X10f/Xc4_03,F_MultiplePoints,Unspecified,NGC_1380,54.114958,-34.9763,True,False,0,0,0,,,,,0.3009899353456252
uid://A001/X10f/Xc4_04_1,uid://A001/X10f/Xc4_04_1,uid://A001/X10f/Xc4,uid://A001/X10f/Xc4_04,F_MultiplePoints,Unspecified,NGC_3258,157.223283,-35.60555,True,False,0,0,0,,,,,0.3000666203981629
uid://A001/X10f/Xc4_04_2,uid://A001/X10f/Xc4_04_2,uid://A001/X10f/Xc4,uid://A001/X10f/Xc4_04,F_MultiplePoints,Unspecified,NGC_3268,157.502729,-35.325508,True,False,0,0,0,,,,,0.3024110503401669
uid://A001/X10f/Xc4_05_1,uid://A001/X10f/Xc4_05_1,uid://A001/X10f/Xc4,uid://A001/X10f/Xc4_05,F_MultiplePoints,Unspecified,NGC_6861,301.831175,-48.370261,True,False,0,0,0,,,,,0.3000355909893084
uid://A001/X112/X490_01_1,uid://A001/X112/X490_01_1,uid://A001/X112/X490,uid://A001/X112/X490_01,F_MultiplePoints,Unspecified,3FGL_J0214.7-5823,33.54266666666667,-58.36922222222222,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_01_2,uid://A001/X112/X490_01_2,uid://A001/X112/X490,uid://A001/X112/X490_01,F_MultiplePoints,Unspecified,3FGL_J0228.3-5545,37.090291666666666,-55.76752777777778,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_01_3,uid://A001/X112/X490_01_3,uid://A001/X112/X490,uid://A001/X112/X490_01,F_MultiplePoints,Unspecified,3FGL_J0230.6-5757,37.78845833333333,-57.91838888888889,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_01_4,uid://A001/X112/X490_01_4,uid://A001/X112/X490,uid://A001/X112/X490_01,F_MultiplePoints,Unspecified,3FGL_J0236.7-6136,39.221333333333334,-61.60447222222222,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_01_5,uid://A001/X112/X490_01_5,uid://A001/X112/X490,uid://A001/X112/X490_01,F_MultiplePoints,Unspecified,3FGL_J0244.8-5818,41.16829166666667,-58.33175,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_01_6,uid://A001/X112/X490_01_6,uid://A001/X112/X490,uid://A001/X112/X490_01,F_MultiplePoints,Unspecified,3FGL_J0251.5-5959,42.860625,-60.00147222222222,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_01_7,uid://A001/X112/X490_01_7,uid://A001/X112/X490,uid://A001/X112/X490_01,F_MultiplePoints,Unspecified,3FGL_J0253.1-5438,43.37166666666667,-54.69733333333333,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_01_8,uid://A001/X112/X490_01_8,uid://A001/X112/X490,uid://A001/X112/X490_01,F_MultiplePoints,Unspecified,3FGL_J0303.7-6211,45.961708333333334,-62.19038888888889,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_01_9,uid://A001/X112/X490_01_9,uid://A001/X112/X490,uid://A001/X112/X490_01,F_MultiplePoints,Unspecified,3FGL_J0309.9-6057,47.483625,-60.97775,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_01_10,uid://A001/X112/X490_01_10,uid://A001/X112/X490,uid://A001/X112/X490_01,F_MultiplePoints,Unspecified,3FGL_J0325.2-5634,51.347458333333336,-56.59597222222222,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_02_1,uid://A001/X112/X490_02_1,uid://A001/X112/X490,uid://A001/X112/X490_02,F_MultiplePoints,Unspecified,3FGL_J0946.2+0103,146.58308333333332,1.0814722222222222,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_02_2,uid://A001/X112/X490_02_2,uid://A001/X112/X490,uid://A001/X112/X490_02,F_MultiplePoints,Unspecified,3FGL_J0948.8+0021,147.238875,0.3735833333333333,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_02_3,uid://A001/X112/X490_02_3,uid://A001/X112/X490,uid://A001/X112/X490_02,F_MultiplePoints,Unspecified,3FGL_J1007.8+0026,152.04795833333333,0.4998888888888889,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_02_4,uid://A001/X112/X490_02_4,uid://A001/X112/X490,uid://A001/X112/X490_02,F_MultiplePoints,Unspecified,3FGL_J1007.9+0621,152.00345833333333,6.356027777777777,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_02_5,uid://A001/X112/X490_02_5,uid://A001/X112/X490,uid://A001/X112/X490_02,F_MultiplePoints,Unspecified,3FGL_J1010.8-0158,152.71504166666668,-2.0409444444444444,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_02_6,uid://A001/X112/X490_02_6,uid://A001/X112/X490,uid://A001/X112/X490_02,F_MultiplePoints,Unspecified,3FGL_J1016.0+0513,154.013,5.217638888888889,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_02_7,uid://A001/X112/X490_02_7,uid://A001/X112/X490,uid://A001/X112/X490_02,F_MultiplePoints,Unspecified,3FGL_J1018.5+0530,154.616,5.508277777777778,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_02_8,uid://A001/X112/X490_02_8,uid://A001/X112/X490,uid://A001/X112/X490_02,F_MultiplePoints,Unspecified,3FGL_J1022.8-0113,155.682375,-1.2171666666666667,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_02_9,uid://A001/X112/X490_02_9,uid://A001/X112/X490,uid://A001/X112/X490_02,F_MultiplePoints,Unspecified,3FGL_J1024.8+0105,156.15725,0.9372222222222222,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_03_1,uid://A001/X112/X490_03_1,uid://A001/X112/X490,uid://A001/X112/X490_03,F_MultiplePoints,Unspecified,3FGL_J1540.8+1449,235.20629166666666,14.796277777777778,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_03_2,uid://A001/X112/X490_03_2,uid://A001/X112/X490,uid://A001/X112/X490_03,F_MultiplePoints,Unspecified,3FGL_J1541.8+1105,235.50441666666666,11.179777777777778,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_03_3,uid://A001/X112/X490_03_3,uid://A001/X112/X490,uid://A001/X112/X490_03,F_MultiplePoints,Unspecified,3FGL_J1546.0+0818,236.51791666666668,8.320833333333333,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_03_4,uid://A001/X112/X490_03_4,uid://A001/X112/X490,uid://A001/X112/X490_03,F_MultiplePoints,Unspecified,3FGL_J1546.6+1812,236.59916666666666,18.28775,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_03_5,uid://A001/X112/X490_03_5,uid://A001/X112/X490,uid://A001/X112/X490_03,F_MultiplePoints,Unspecified,3FGL_J1549.5+1709,237.37158333333332,17.140916666666666,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_03_6,uid://A001/X112/X490_03_6,uid://A001/X112/X490,uid://A001/X112/X490_03,F_MultiplePoints,Unspecified,3FGL_J1552.1+0852,238.01354166666667,8.846527777777778,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_03_7,uid://A001/X112/X490_03_7,uid://A001/X112/X490,uid://A001/X112/X490_03,F_MultiplePoints,Unspecified,3FGL_J1553.5+1256,238.38654166666666,12.947416666666667,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_03_8,uid://A001/X112/X490_03_8,uid://A001/X112/X490,uid://A001/X112/X490_03,F_MultiplePoints,Unspecified,3FGL_J1555.7+1111,238.92954166666667,11.190111111111111,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_03_9,uid://A001/X112/X490_03_9,uid://A001/X112/X490,uid://A001/X112/X490_03,F_MultiplePoints,Unspecified,3FGL_J1603.7+1106,240.92470833333334,11.096916666666667,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_03_10,uid://A001/X112/X490_03_10,uid://A001/X112/X490,uid://A001/X112/X490_03,F_MultiplePoints,Unspecified,3FGL_J1607.0+1551,241.77725,15.859638888888888,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_03_11,uid://A001/X112/X490_03_11,uid://A001/X112/X490,uid://A001/X112/X490_03,F_MultiplePoints,Unspecified,3FGL_J1608.6+1029,242.19220833333333,10.485555555555555,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_04_1,uid://A001/X112/X490_04_1,uid://A001/X112/X490,uid://A001/X112/X490_04,F_MultiplePoints,Unspecified,3FGL_J0457.0+0643,74.28204166666667,6.752083333333333,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_04_2,uid://A001/X112/X490_04_2,uid://A001/X112/X490,uid://A001/X112/X490_04,F_MultiplePoints,Unspecified,3FGL_J0502.5+0612,75.56441666666667,6.15225,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_04_3,uid://A001/X112/X490_04_3,uid://A001/X112/X490,uid://A001/X112/X490_04,F_MultiplePoints,Unspecified,3FGL_J0505.3+0459,76.34666666666666,4.995222222222222,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_04_4,uid://A001/X112/X490_04_4,uid://A001/X112/X490,uid://A001/X112/X490_04,F_MultiplePoints,Unspecified,3FGL_J0505.5+0416,76.39508333333333,4.265194444444444,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_04_5,uid://A001/X112/X490_04_5,uid://A001/X112/X490,uid://A001/X112/X490_04,F_MultiplePoints,Unspecified,3FGL_J0509.3+1012,77.364375,10.195722222222223,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_04_6,uid://A001/X112/X490_04_6,uid://A001/X112/X490,uid://A001/X112/X490_04,F_MultiplePoints,Unspecified,3FGL_J0509.4+0541,77.35820833333334,5.693222222222222,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_04_7,uid://A001/X112/X490_04_7,uid://A001/X112/X490,uid://A001/X112/X490_04,F_MultiplePoints,Unspecified,3FGL_J0517.5+0902,79.41695833333333,8.976638888888889,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_04_8,uid://A001/X112/X490_04_8,uid://A001/X112/X490,uid://A001/X112/X490_04,F_MultiplePoints,Unspecified,3FGL_J0519.5+0852,79.79495833333333,8.815777777777777,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_04_9,uid://A001/X112/X490_04_9,uid://A001/X112/X490,uid://A001/X112/X490_04,F_MultiplePoints,Unspecified,3FGL_J0529.1+0933,82.26075,9.575666666666667,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_04_10,uid://A001/X112/X490_04_10,uid://A001/X112/X490,uid://A001/X112/X490_04,F_MultiplePoints,Unspecified,3FGL_J0532.7+0732,83.16254166666667,7.545388888888889,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_05_1,uid://A001/X112/X490_05_1,uid://A001/X112/X490,uid://A001/X112/X490_05,F_MultiplePoints,Unspecified,3FGL_J0039.1-0939,9.776166666666667,-9.713194444444444,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_05_2,uid://A001/X112/X490_05_2,uid://A001/X112/X490,uid://A001/X112/X490_05,F_MultiplePoints,Unspecified,3FGL_J0043.7-1117,10.952916666666667,-11.268777777777778,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_05_3,uid://A001/X112/X490_05_3,uid://A001/X112/X490,uid://A001/X112/X490_05,F_MultiplePoints,Unspecified,3FGL_J0050.4-0449,12.589708333333334,-4.872694444444445,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_05_4,uid://A001/X112/X490_05_4,uid://A001/X112/X490,uid://A001/X112/X490_05,F_MultiplePoints,Unspecified,3FGL_J0050.6-0929,12.671958333333333,-9.485083333333334,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_05_5,uid://A001/X112/X490_05_5,uid://A001/X112/X490,uid://A001/X112/X490_05,F_MultiplePoints,Unspecified,3FGL_J0051.0-0649,12.784208333333334,-6.834388888888889,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_05_6,uid://A001/X112/X490_05_6,uid://A001/X112/X490,uid://A001/X112/X490_05,F_MultiplePoints,Unspecified,3FGL_J0055.2-1213,13.799083333333334,-12.299166666666666,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_05_7,uid://A001/X112/X490_05_7,uid://A001/X112/X490,uid://A001/X112/X490_05,F_MultiplePoints,Unspecified,3FGL_J0056.3-0935,14.084875,-9.606583333333333,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_05_8,uid://A001/X112/X490_05_8,uid://A001/X112/X490,uid://A001/X112/X490_05,F_MultiplePoints,Unspecified,3FGL_J0057.9-0542,14.521125,-5.664694444444445,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_05_9,uid://A001/X112/X490_05_9,uid://A001/X112/X490,uid://A001/X112/X490_05,F_MultiplePoints,Unspecified,3FGL_J0107.0-1208,16.799125,-12.189916666666667,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_05_10,uid://A001/X112/X490_05_10,uid://A001/X112/X490,uid://A001/X112/X490_05,F_MultiplePoints,Unspecified,3FGL_J0110.9-1254,17.708208333333335,-12.918055555555556,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_05_11,uid://A001/X112/X490_05_11,uid://A001/X112/X490,uid://A001/X112/X490_05,F_MultiplePoints,Unspecified,3FGL_J0116.0-1134,19.051916666666667,-11.604166666666666,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_06_1,uid://A001/X112/X490_06_1,uid://A001/X112/X490,uid://A001/X112/X490_06,F_MultiplePoints,Unspecified,3FGL_J0003.2-5246,0.8312083333333333,-52.79102777777778,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_06_2,uid://A001/X112/X490_06_2,uid://A001/X112/X490,uid://A001/X112/X490_06,F_MultiplePoints,Unspecified,3FGL_J0004.7-4740,1.1484166666666666,-47.605666666666664,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_06_3,uid://A001/X112/X490_06_3,uid://A001/X112/X490,uid://A001/X112/X490_06,F_MultiplePoints,Unspecified,3FGL_J0014.0-5025,3.54675,-50.37575,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_06_4,uid://A001/X112/X490_06_4,uid://A001/X112/X490,uid://A001/X112/X490_06,F_MultiplePoints,Unspecified,3FGL_J0022.1-5141,5.499333333333333,-51.67380555555555,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_06_5,uid://A001/X112/X490_06_5,uid://A001/X112/X490,uid://A001/X112/X490_06,F_MultiplePoints,Unspecified,3FGL_J2325.4-4758,351.362125,-48.00511111111111,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_06_6,uid://A001/X112/X490_06_6,uid://A001/X112/X490,uid://A001/X112/X490_06,F_MultiplePoints,Unspecified,3FGL_J2329.3-4955,352.3367083333333,-49.92788888888889,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_06_7,uid://A001/X112/X490_06_7,uid://A001/X112/X490,uid://A001/X112/X490_06,F_MultiplePoints,Unspecified,3FGL_J2329.9-4734,352.32391666666666,-47.50533333333333,True,False,0,0,0,,,,,0.0
