Year      Month  Day    Hour  PWV
2011      1     31     12     NaN
2011      1     31     15     NaN
2011      1     31     18     NaN
2011      1     31     21     NaN
2011      2      1      0     NaN
2011      2      1      3     NaN
2011      2      1      6     NaN
2011      2      1      9     NaN
2011      2      1     12     NaN
2011      2      1     15     NaN
2011      2      1     18     NaN
2011      2      1     21     NaN
2011      2      2      0     NaN
2011      2      2      3     NaN
2011      2      2      6     NaN
2011      2      2      9     NaN
2011      2      2     12     NaN
2011      2      2     15     NaN
2011      2      2     18     NaN
2011      2      2     21     NaN
2011      2      3      0     NaN
2011      2      3      3     NaN
2011      2      3      6     NaN
2011      2      3      9     NaN
2011      2      3     12     NaN
2011      2      3     15     NaN
2011      2      3     18     NaN
2011      2      3     21     NaN
2011      2      4      0     NaN
2011      2      4      3     NaN
2011      2      4      6     NaN
2011      2      4      9     NaN
2011      2      4     12     NaN
2011      2      4     15     NaN
2011      2      4     18     NaN
2011      2      4     21     NaN
2011      2      5      0     NaN
2011      2      5      3     NaN
2011      2      5      6     NaN
2011      2      5      9     NaN
2011      2      5     12     NaN
2011      2      5     15     NaN
2011      2      5     18     NaN
2011      2      5     21     NaN
2011      2      6      0     NaN
2011      2      6      3     NaN
2011      2      6      6     NaN
2011      2      6      9     NaN
2011      2      6     12     NaN
2011      2      6     15     NaN
2011      2      6     18     NaN
2011      2      6     21     NaN
2011      2      7      0     NaN
2011      2      7      3     NaN
2011      2      7      6     NaN
2011      2      7      9     NaN
2011      2      7     12     NaN
2011      2      7     15     NaN
2011      2      7     18     NaN
2011      2      7     21     NaN
2011      2      8      0     NaN
2011      2      8      3     NaN
2011      2      8      6     NaN
2011      2      8      9     NaN
2011      2      8     12     NaN
2011      2      8     15     NaN
2011      2      8     18     NaN
2011      2      8     21     NaN
2011      2      9      0     NaN
2011      2      9      3     NaN
2011      2      9      6     NaN
2011      2      9      9     NaN
2011      2      9     12     NaN
2011      2      9     15     NaN
2011      2      9     18     NaN
2011      2      9     21     NaN
2011      2     10      0     NaN
2011      2     10      3     NaN
2011      2     10      6     NaN
2011      2     10      9     NaN
2011      2     10     12     NaN
2011      2     10     15     NaN
2011      2     10     18     NaN
2011      2     10     21     NaN
2011      2     11      0     NaN
2011      2     11      3     NaN
2011      2     11      6     NaN
2011      2     11      9     NaN
2011      2     11     12     NaN
2011      2     11     15     NaN
2011      2     11     18     NaN
2011      2     11     21     NaN
2011      2     12      0     NaN
2011      2     12      3     NaN
2011      2     12      6     NaN
2011      2     12      9     NaN
2011      2     12     12     NaN
2011      2     12     15     NaN
2011      2     12     18     NaN
2011      2     12     21     NaN
2011      2     13      0     NaN
2011      2     13      3     NaN
2011      2     13      6     NaN
2011      2     13      9     NaN
2011      2     13     12     NaN
2011      2     13     15     NaN
2011      2     13     18     NaN
2011      2     13     21     NaN
2011      2     14      0     5.066
2011      2     14      3     NaN
2011      2     14      6     NaN
2011      2     14      9     NaN
2011      2     14     12     NaN
2011      2     14     15     NaN
2011      2     14     18     NaN
2011      2     14     21     7.409
2011      2     15      0     NaN
2011      2     15      3     NaN
2011      2     15      6     NaN
2011      2     15      9     NaN
2011      2     15     12     NaN
2011      2     15     15     NaN
2011      2     15     18     NaN
2011      2     15     21     9.872
2011      2     16      0     NaN
2011      2     16      3     8.198
2011      2     16      6     7.394
2011      2     16      9     7.863
2011      2     16     12     NaN
2011      2     16     15     8.371
2011      2     16     18     NaN
2011      2     16     21     NaN
2011      2     17      0     NaN
2011      2     17      3     7.144
2011      2     17      6     7.669
2011      2     17      9     6.387
2011      2     17     12     6.073
2011      2     17     15     7.889
2011      2     17     18     8.455
2011      2     17     21     11.521
2011      2     18      0     8.709
2011      2     18      3     6.340
2011      2     18      6     6.248
2011      2     18      9     NaN
2011      2     18     12     NaN
2011      2     18     15     7.843
